artifact_id,class,relative_path,sha256,source_authority,note
P6_PROVENANCE_TEX,phase6,manuscript/tables/replay_provenance.tex,1ce4f5e4a71ec35fc2da378f8f9cab983984606d8bbc8ef5eadece31d48a3fee,CAMPAIGN_REPLAY_PROVENANCE_V4_1.csv,tab:replayprov
P6_CHANGELOG,phase6,revision_v4_1/CHANGELOG_V4_1.txt,e41575bb08060d83a1c91b50326677935bf68ce43996f06a46072605f63d2ce5,plan section 8.5,Disclosure vs derived vs robustness
P6_ENV,phase6,revision_v4_1/derived/ENVIRONMENT_PREFLIGHT_V4_1.json,4daa4aacdb63ee70af2fbba013076d4edf685cf3f79ea8e672a59e49936ed50b,environment/requirements.txt,Fail-closed portable vs legacy 3.13.5
P6_PARAM_VERIFIER,phase6,revision_v4_1/verify_manuscript_parameters.py,b64c48527c978b6a1d0a3df38712c3425df3381d87f9f761acc9d0a6c07d678f,plan section 8.4,Design-table parameter checks
P6_GENERATOR,phase6,revision_v4_1/generate_phase6_release.py,4f442b03237695bf03a19d4ca6a725f5ff838c244dee7d338c9c693878c99dac,plan section 8,Phase 6 artifact generator
P6_VERIFIER,phase6,revision_v4_1/verify_phase6.py,535237f97b6e4ac9746fdb7e36b1548057e9f4b466ecb421fcb7edcd6fc715ca,plan section 8,PHASE6_CHECKS_PASSED
P6_CHECK_RECORD,phase6,revision_v4_1/PHASE6_CHECK_RECORD.txt,f60ce95fee0de34d56a5bf46c6327ac691453aa91e0a2624aae158c11de2ab14,revision_v4_1/,Phase 6 acceptance record
P7_VERIFIER,phase7,revision_v4_1/verify_phase7.py,e5f17fe7dde05f45a3ebd4f04d04e00ab59705f55b74ef30e8b4914a82ac11c4,plan section 9,PHASE7_CHECKS_PASSED
P7_CHECK_RECORD,phase7,revision_v4_1/PHASE7_CHECK_RECORD.txt,cd7d13c6547c603a74437a20742b5eb2d5b664004dc9f66cf6823b7d461678af,revision_v4_1/,Phase 7 acceptance record
P6_RELEASE_VERIFIER,phase6,revision_v4_1/verify_release_v4_1.py,005e2272f73d16b47bf3f3ad83c09dafff1fb259f4ff20e19e4945dea719eb11,code/verification/verify_release.py,V4_1_RELEASE_CHECKS_PASSED
