claim_id,axis,index_type,v4_1_tier,estimand,evidence_authority,resolution_rule,uncertainty,current_manuscript_location,v4_1_manuscript_status,current_terminal_state,inclusion_reason,phase0_notes
IB1_III4_TRIPOD,I-III,primary,confirmatory,Conventional Tripod perturbation: connected graph and preservation of the 3-leaf/1-branch signature in the lower-leaf direction (17 Tripod rows in the 34-row campaign).,evidence/baseline/ib1_iii4/IB1_III4_EVIDENCE_RECORDS.jsonl,"All 17 Tripod rows eligible; lower-leaf direction preserves delta_leaves=0 and delta_branch_vertices=0. Finite-sample, same-filter.",Finite frozen design.,RESULTS.txt Axis III; not named in mapper_manuscript.tex.,evidence_map,17_tripod_eligible_lower_leaf_signature_preserved,Primary indexed campaign; evidence-map naming is the minimum inclusion. Not scoped out.,Same ledger as IB1_III4_CIRCLE: evidence/baseline/ib1_iii4/IB1_III4_EVIDENCE_RECORDS.jsonl.
M6A2_STABILITY,I,primary,confirmatory,302-run Swiss extended-persistence comparison: method-by-noise mean baseline-relative bottleneck (and Wasserstein) displacement for Conventional versus F-Mapper at five nonzero noise levels.,evidence/baseline/m6a2/run_ledger.jsonl,"At each of the five nonzero noise levels, Conventional mean bottleneck displacement is below F-Mapper. Report both methods, all noise levels, and uncertainty from per-run metrics. Frame as conditional method-realization advantage, not a universal ranking.",Per-level bootstrap intervals in evidence/baseline/m6a2/bootstrap_intervals.csv; 29 or 30 valid F-Mapper observations at sigma=0.10 bottleneck.,RESULTS.txt cross-axis paragraph only. Absent from mapper_manuscript.tex.,main_text,conventional_mean_below_fmapper_at_five_nonzero_levels,"Primary indexed result currently omitted from the manuscript. v4.1 must add a compact main-text or, if space-constrained, still a main-text subsection; appendix-only would still be better than omission, but the freeze targets main_text to close the hidden-primary-result risk.",Required derived summary B2. Do not hide the ordering.
IB3_II3_PARAMETER,II,descriptive,exploratory,42-row Conventional parameter-response of local quality and graph cycle rank to observed eps and min_samples on Swiss and Digits.,evidence/baseline/ib3_ii3/IB3_II3_CONSTRUCTION_LEDGER.jsonl,Descriptive sweep only. Digits graph_beta1 is 0 at the lowest observed eps and positive at larger eps; Swiss Silhouette is monotone in min_samples at the recorded eps. No confirmatory interaction.,42 rows; no confirmatory interval.,Not in mapper_manuscript.tex; RESULTS.txt lists IB3 among descriptive sweeps.,appendix,descriptive_42_row_response,Descriptive parameter sweep; appendix avoids silent omission without promoting it.,Do not convert into a monotonic law.
IB2_II2_COVER,II,descriptive,exploratory,"36 successful Conventional cover-arm constructions (12 each on Circle, Swiss, Digits) used as anchors for later descriptive associations.",evidence/baseline/ib2_ii2/construction_records.jsonl,"All 36 status=success. Descriptive construction set, not a confirmatory stability estimand.",Exact construction counts.,Not named in tex; supplies IV-5 exact anchors.,appendix,36_successful_constructions,Descriptive construction ledger behind IV-5 anchors; appendix.,12 exact IB2 anchors are verified in IV-5.
AXIS3_III1_CIRCLE,III,primary,confirmatory,"Direct Conventional Circle baseline: graph and nerve (beta0, beta1)=(1,1) versus the analytic reference, plus type-restricted bottleneck distance to the sealed four-vertex filtered-cycle computational reference.",evidence/baseline/axis3_iii1/CIRCLE_RESULT.json,"Invariants match. Type-restricted d_B=0.096831. Finite-case sanity check, not convergence. Nonzero bottleneck and exact invariant recovery are not contradictory.","One finite case; bottleneck is a typed diagnostic, not a pass/fail threshold.",sec:fidelity Direct Conventional Mapper baselines; tab:axis3.,main_text,invariants_match_dB_0.096831,Primary Axis-III baseline.,No new bottleneck threshold (E1).
AXIS3_III1_TRIPOD,III,primary,confirmatory,"Direct Conventional Tripod baseline: (beta0, beta1)=(1,0) and the 3-leaf/1-branch signature, plus type-restricted bottleneck distance.",evidence/baseline/axis3_iii1/TRIPOD_RESULT.json,"Invariants and signature match. Type-restricted d_B=0.147428. Finite-case sanity check, not convergence.",One finite case.,sec:fidelity Direct Conventional Mapper baselines; tab:axis3.,main_text,invariants_and_signature_match_dB_0.147428,Primary Axis-III baseline.,"Circle and Tripod are controlled loop/branching proof-of-principle references, not coverage of arbitrary Reeb combinatorics."
AXIS3_III2,III,primary,confirmatory,"Finite-sample joint graph-and-nerve invariant recovery: III-2A 46/50 cover cells at N=1000; III-2B 1201/2160 eligible runs over N in {100,300,600,1200} and a reduced 3x3 cover grid (72 cells, 30 matched realizations per cell).",evidence/baseline/axis3_iii2/RUN_LEVEL_REQUALIFIED.csv,Report both numerators/denominators and the N-by-geometry split. Same-filter identity uses the metadata-re-audited 2208-run table. The metadata re-audit repaired stored filter-identity metadata; scientific numeric fields were unchanged. Cell-level III-2B for any new failure taxonomy; do not reconstruct absent construction journals.,Exact recovery counts. Bottleneck remains a typed continuous diagnostic without a new binary threshold.,sec:fidelity Conventional finite-sample recovery surfaces; fig:axis3surface; tab:axis3.,main_text,III2A_46_of_50__III2B_1201_of_2160_requalified,Primary Axis-III recovery-surface claim.,Distinguish metadata repair from scientific-number generation (A10).
N1_MATCHED,I-II-III,descriptive,exploratory,"Matched construction-status counts across Circle, Swiss, and Digits: 906 units, 811 success, 95 FCM non-convergence.",evidence/baseline/n1/N1_C_MATCHED_EVIDENCE_INDEX.csv,Descriptive status accounting only. Do not promote to confirmatory Axis-I/II/III claims. Name the frozen FCM solver criterion if non-convergence counts are quoted.,Exact counts from N1_C_RETROSPECTIVE_LEDGER.jsonl (604) plus N1_C_DIGITS_ATTEMPT_LEDGER.jsonl (302).,RESULTS.txt Axis II; absent from mapper_manuscript.tex.,evidence_map,906_units_811_success_95_fcm_non_convergence,Descriptive; evidence-map naming is sufficient. Explicitly not confirmatory.,Plan 4.3: treat as descriptive unless the claim index gives confirmatory status. Index type remains descriptive.
R10_STRUCTURAL,I-II,primary,failure-accounting,"Accounting of 282 Conventional/Ball structural-robustness constructions: eligible, successful-ineligible, typed degenerate.",evidence/baseline/r10/R10_V4_RUN_ACCOUNTING.json,"282 attempted; 205 eligible; 30 successful-ineligible; 47 typed degenerate (noisy arm: 193 success, 47 degenerate_output). One completed run. Report the accounting; do not convert ineligible or degenerate rows into distances.",Exact accounting counts from R10_V4_RUN_ACCOUNTING.json plus clean (42) and noisy (240) ledgers.,RESULTS.txt Axis I; absent from mapper_manuscript.tex.,appendix,282_attempted_205_eligible_30_success_ineligible_47_degenerate,Primary indexed accounting currently omitted. Appendix (or reliability subsection) is required; omission is not allowed.,Plan 4.2. Completes failure-accounting evidence.
BALL_PARAMETER,II-III,descriptive,exploratory,"45-construction Ball radius/order baseline: construction success and scientific eligibility, including the single ineligible row.",evidence/baseline/ball_parameter/BALL_CONSTRUCTION_LEDGER.jsonl,"45/45 status=success; 44/45 scientifically eligible. The ineligible row is BALL_IB4_III5_CONS_CIRCLE_M10_K04, dataset unit_circle_S1, order_id unit_circle_S1__ORDER_04, radius_multiplier=1.0, scientific_ineligibility_reason=selected_center_count<5 (n_centers=4). Not a Reeb estimator.",Exact 45/44 counts.,"sec:fidelity Ball Mapper and metric shape (45 constructions, 44 eligible) without the ineligibility reason.",main_text,45_success_44_eligible_one_selected_center_count_lt_5,Main-text Ball diagnostic; the unexplained denominator must be closed (A7).,Phase 1 must add the concrete eligibility reason.
E2M_ENSEMBLE,I,primary,failure-accounting,"Matched Ensemble Axis-I campaign constructibility: 50 units classified eligible versus SELECTION_FAILED, under the same qualified Kang-Lim RCESCC realization.",evidence/baseline/e2m_ensemble/ENSEMBLE_AXIS1_CONFIRMATORY_LEDGER.jsonl,21 eligible / 29 SELECTION_FAILED. Do not summarize only the 21 constructed outputs as the method's stability.,Exact constructibility counts. Metric estimand on eligible rows is D_STAR_JACCARD_MEAN.,"sec:integration Ensemble paragraph (21 eligible, 29 selection failure).",main_text,21_eligible_29_selection_failed,Main-text constructibility result for the qualified Ensemble method.,index_type=primary. Keep qualified naming.
E2M_II1,II,descriptive,exploratory,"E2M II-1 construction eligibility on 12 units (success, FCM non-convergence, degenerate_output).",evidence/baseline/e2m_ii1/II1_OPTION_A_CONSTRUCTION_LEDGER.jsonl,"9/12 eligible; remaining three are two FCM non-convergences and one degenerate output. Descriptive reliability, not a confirmatory quality law.",Exact 9/12 counts.,RESULTS.txt Axis II; not in mapper_manuscript.tex.,appendix,9_eligible_2_fcm_non_convergence_1_degenerate,Descriptive reliability companion; appendix.,Name frozen FCM criterion if quoting the two non-convergences.
E2M_III3,III,finite_case,confirmatory,Three eligible same-filter Circle cases: graph cycle-rank difference to the reference (fidelity_distance=0.0).,evidence/baseline/e2m_iii3/III3_CIRCLE_ONLY_LEDGER.jsonl,"3/3 eligible same-filter Circle cases with zero graph cycle-rank difference. Finite-case diagnostic, not a Reeb theorem.",n=3 finite cases.,RESULTS.txt Axis III; not in mapper_manuscript.tex.,appendix,3_eligible_zero_cycle_rank_difference,Finite-case indexed result; appendix with an explicit not-a-theorem label. Not scoped out.,index_type=finite_case.
TRACK_C_FACTORIAL,I,descriptive,exploratory,"Completeness of the Track C Circle factorial: 600 constructions and 480 eligible clean-perturbed comparisons across 48 cover x clustering x noise cells, rebuilt on the clean reference's fixed realized pullbacks.",evidence/baseline/track_c/IB5_INTERACTIONS_COMPARISON_LEDGER.jsonl,"All 480 comparisons eligible. This row is the design and cell-level ledger. The corrected primary interaction coefficient is C7_TRACK_C_INTERACTION, not the cell means.",Exact 600/480 design counts.,sec:stability Cover-clustering interaction on the Circle (design paragraph).,main_text,600_constructions_480_eligible_comparisons,Main-text design for the corrected C7 interaction analysis.,alpha=0 is the clean reference and is not one of the 48 perturbed cells. Phase 1 A2 must state the four positive doses.
C7_TRACK_C_INTERACTION,I,primary_analysis,corrected_analysis,"beta_12, the n_intervals x eps interaction in the specified bilinear model for exact joint D_M^NA on Track C, after the mathematical endpoint correction. Model: D_M_exact = beta0 + beta_n*(n-10) + beta_e*(eps-0.15) + beta_12*(n-10)*(eps-0.15) + categorical alpha effects (0.05 reference) + replicate-stream effect + error. 10 replicate streams. No new Mapper constructions.",evidence/campaigns/c7/C7_INTERACTION_FIT.json,"The specified bilinear coefficient beta12 is negative with its stream-bootstrap and secondary CR1 intervals below zero. A post-hoc fully categorical robustness analysis shows that interaction contrasts are small/positive at eps=0.15 and negative at eps=0.25, so beta12 is interpreted as a bilinear trend summary over the stated grid rather than a uniform factorial interaction. The post-hoc corner contrast remains separately labelled. Local to this Circle grid; not a global response-surface law.","Primary: stream-level nonparametric percentile bootstrap B=10000, seed 20260829, 10 clusters, [-0.026719, -0.019658]. Secondary: CR1 cluster-by-stream sandwich, t_9. Small-n limitation (10 stream clusters) must sit beside the interval.",sec:stability Cover-clustering interaction; fig:interactions panel A. Design list currently omits the four alpha doses and the full model.,main_text,T2_INTERACTION_RESOLVED_NEGATIVE,Primary corrected interaction analysis; categorical robustness reported alongside the bilinear coefficient.,Phase 1 A2; reviewer-response robustness added from the same frozen ledger. Do not revert to the historical per-bin upper estimate. p_values_computed=false in the frozen fit.
C8_FMAPPER_AXIS3,II-III,finite_sample_replication,confirmatory,"Primary: attempt-level and eligibility-conditional Tier-A invariant agreement at frozen (c=10, tau=0.10) for Circle (20 attempts) and Tripod (30 attempts). Secondary descriptive: full 500-run Circle grid construction reliability and eligible invariant agreement, including the 72 non-exact eligible constructions.",evidence/campaigns/c8/C8_CONSTRUCTION_LEDGER.jsonl,"Primary cell: Circle 14/20 attempts and 14/14 eligible; Tripod 21/30 and 21/21 eligible. Full grid: 387/500 eligible, 315/500 exact (315/387 conditional); 72 eligible non-exact, all with beta1=0. Full-grid quality-fidelity association is descriptive, not a universal threshold law. Failed attempts remain in attempt-level denominators.",Exact finite-design frequencies. Derived B3/B4 may add rank-discordance and bootstrap intervals without creating a new binary quality threshold.,sec:quality reliability panel C and quality-fidelity subsection; sec:fidelity F-Mapper finite-grid; fig:axis3surface panels C--D; tab:axis3.,main_text,primary_cell_14_of_20_and_21_of_30__grid_315_of_387,Primary finite-sample F-Mapper fidelity plus the main quality-fidelity counterexample.,index_type=finite_sample_replication. Primary cell is confirmatory; full grid remains descriptive. Phase 3 B3/B4 authorized.
C9_BALL_CIRCLE,I,vacuous_interaction,failure-accounting,Primary Circle Ball noise-by-radius difference-in-differences of edge-Jaccard under frozen landmarks (300 cells).,evidence/campaigns/c9/C9_LEDGER.jsonl,"Vacuous interaction. All 300 cells defined, but the k=2.0 arm is a two-node one-edge graph in every row and that edge survives every noise dose. Median DiD and bootstrap interval are exactly zero because of saturation, not because a null interaction was precisely established.",Zero-width interval is a discrete-saturation artifact; do not interpret as high-precision evidence for no effect.,sec:stability Ball Circle saturation; fig:interactions panel D.,main_text,vacuous_saturated_k2_arm,Main-text distinct outcome: a valid numerical endpoint with no power.,index_type=vacuous_interaction. Forbidden to call this a precise-null confirmation (E2/prohibited claims).
